,Well,Sample Name,Replicate,Sample Type,Dilution,Ct/Cq
0,A01,STD01,1.0,Standard,1000000000.0,10.9643068870506
1,B01,STD02,1.0,Standard,100000000.0,14.7212648595491
2,C01,STD03,1.0,Standard,10000000.0,18.0629109834332
3,D01,STD04,1.0,Standard,1000000.0,21.6100088431657
4,E01,STD05,1.0,Standard,100000.0,25.0270700729206
5,F01,STD06,1.0,Standard,10000.0,28.3892793515501
6,G01,STD07,1.0,Standard,1000.0,31.9385407025187
7,H01,,,,,
8,A02,STD01,2.0,Standard,1000000000.0,10.8503003066943
9,B02,STD02,2.0,Standard,100000000.0,14.5922076600787
10,C02,STD03,2.0,Standard,10000000.0,18.0640793391157
11,D02,STD04,2.0,Standard,1000000.0,21.4118742758085
12,E02,STD05,2.0,Standard,100000.0,24.9945148373854
13,F02,STD06,2.0,Standard,10000.0,28.4491707989254
14,G02,STD07,2.0,Standard,1000.0,31.8196159862475
15,H02,,,,,
16,A03,STD01,3.0,Standard,1000000000.0,11.3953090094647
17,B03,STD02,3.0,Standard,100000000.0,14.5702312873732
18,C03,STD03,3.0,Standard,10000000.0,18.0185676648467
19,D03,STD04,3.0,Standard,1000000.0,21.4232599680765
20,E03,STD05,3.0,Standard,100000.0,24.8502467270327
21,F03,STD06,3.0,Standard,10000.0,28.4040862081685
22,G03,STD07,3.0,Standard,1000.0,32.133143783005
23,H03,,,,,
24,A04,Sample1,1.0,Sample,10.0,12.4138151189643
25,B04,Sample1,1.0,Sample,100.0,15.7316974981397
26,C04,Sample1,1.0,Sample,1000.0,19.3142730074796
27,D04,Sample1,1.0,Sample,10000.0,22.7713828518546
28,E04,Sample2,1.0,Sample,10.0,12.3716638592753
29,F04,Sample2,1.0,Sample,100.0,15.5840935103636
30,G04,Sample2,1.0,Sample,1000.0,19.1604184969407
31,H04,Sample2,1.0,Sample,10000.0,22.6903865731005
32,A05,Sample1,2.0,Sample,10.0,12.3073397080895
33,B05,Sample1,2.0,Sample,100.0,15.8267354740269
34,C05,Sample1,2.0,Sample,1000.0,19.2083192080494
35,D05,Sample1,2.0,Sample,10000.0,23.0044110035487
36,E05,Sample2,2.0,Sample,10.0,12.3481404034044
37,F05,Sample2,2.0,Sample,100.0,15.4690317073304
38,G05,Sample2,2.0,Sample,1000.0,19.3141047964496
39,H05,Sample2,2.0,Sample,10000.0,22.7750827659463
40,A06,Sample1,3.0,Sample,10.0,12.2949951232667
41,B06,Sample1,3.0,Sample,100.0,15.7375356765947
42,C06,Sample1,3.0,Sample,1000.0,19.378108372754
43,D06,Sample1,3.0,Sample,10000.0,22.7668421940058
44,E06,Sample2,3.0,Sample,10.0,12.2263066438168
45,F06,Sample2,3.0,Sample,100.0,15.6070438396849
46,G06,Sample2,3.0,Sample,1000.0,19.2995042350996
47,H06,Sample2,3.0,Sample,10000.0,22.7516108963714
48,A07,Sample3,1.0,Sample,10.0,18.4146599866451
49,B07,Sample3,1.0,Sample,100.0,22.0740599252443
50,C07,Sample3,1.0,Sample,1000.0,25.6976146327533
51,D07,Sample3,1.0,Sample,10000.0,28.806862002192
52,E07,,,,,
53,F07,,,,,
54,G07,,,,,
55,H07,,,,,
56,A08,Sample3,2.0,Sample,10.0,18.456223868852
57,B08,Sample3,2.0,Sample,100.0,21.901653243361
58,C08,Sample3,2.0,Sample,1000.0,25.7902722533052
59,D08,Sample3,2.0,Sample,10000.0,29.209738056645
60,E08,,,,,
61,F08,,,,,
62,G08,,,,,
63,H08,,,,,
64,A09,Sample3,3.0,Sample,10.0,18.4376266701339
65,B09,Sample3,3.0,Sample,100.0,22.1098452752958
66,C09,Sample3,3.0,Sample,1000.0,25.7120937906812
67,D09,Sample3,3.0,Sample,10000.0,29.2087628059399
68,E09,,,,,
69,F09,,,,,
70,G09,,,,,
71,H09,,,,,
72,A10,,,,,
73,B10,,,,,
74,C10,,,,,
75,D10,,,,,
76,E10,,,,,
77,F10,,,,,
78,G10,,,,,
79,H10,,,,,
80,A11,,,,,
81,B11,,,,,
82,C11,,,,,
83,D11,,,,,
84,E11,,,,,
85,F11,,,,,
86,G11,,,,,
87,H11,,,,,
88,A12,,,,,
89,B12,,,,,
90,C12,,,,,
91,D12,,,,,
92,E12,,,,,
93,F12,,,,,
94,G12,,,,,
95,H12,,,,,
